# PERMISSION MATRIX

| Module | Page | Action | Button | Transition |
|---|---|---|---|---|
| common | common Management | read | READ | Varies |
| agenda | agenda Management | read | READ | Varies |
| agreements | agreements Management | create | CREATE | Varies |
| agreements | agreements Management | write | WRITE | Varies |
| agreements | agreements Management | approve | APPROVE | Varies |
| write | write Management | archive | ARCHIVE | Varies |
| audit.read | audit.read Management | all | ALL | Varies |
| catalog | catalog Management | write | WRITE | Varies |
| clients | clients Management | write | WRITE | Varies |
| clients | clients Management | read | READ | Varies |
| contracts | contracts Management | write | WRITE | Varies |
| contracts | contracts Management | read | READ | Varies |
| customer-credits | customer-credits Management | read | READ | Varies |
| customer-credits | customer-credits Management | write | WRITE | Varies |
| documents | documents Management | read | READ | Varies |
| feature_flags | feature_flags Management | read | READ | Varies |
| health | health Management | read | READ | Varies |
| health | health Management | metrics | METRICS | Varies |
| reports | reports Management | view | VIEW | Varies |
| invoices | invoices Management | read | READ | Varies |
| invoices | invoices Management | write | WRITE | Varies |
| invoices | invoices Management | stamp | STAMP | Varies |
| notifications | notifications Management | read | READ | Varies |
| numbering | numbering Management | generate | GENERATE | Varies |
| payments | payments Management | create | CREATE | Varies |
| payments | payments Management | approve | APPROVE | Varies |
| payments | payments Management | reject | REJECT | Varies |
| payments | payments Management | refund | REFUND | Varies |
| quotes | quotes Management | write | WRITE | Varies |
| quotes | quotes Management | read | READ | Varies |
| rbac.manage | rbac.manage Management | all | ALL | Varies |
| rbac.read | rbac.read Management | all | ALL | Varies |
| reports | reports Management | generate | GENERATE | Varies |
| regulations | regulations Management | write | WRITE | Varies |
| regulations | regulations Management | accept | ACCEPT | Varies |
| read | read Management | analytics | ANALYTICS | Varies |
| read | read Management | advanced_reports | ADVANCED_REPORTS | Varies |
| reviews | reviews Management | write | WRITE | Varies |
| read | read Management | search | SEARCH | Varies |
| signatures | signatures Management | read | READ | Varies |
| signatures | signatures Management | write | WRITE | Varies |
| occupancy | occupancy Management | write | WRITE | Varies |
| space | space Management | write | WRITE | Varies |
| space | space Management | read | READ | Varies |
| storage | storage Management | read | READ | Varies |
| templates | templates Management | write | WRITE | Varies |
| tenants.manage | tenants.manage Management | all | ALL | Varies |
| tenants.read | tenants.read Management | all | ALL | Varies |
| workflows | workflows Management | read | READ | Varies |
| client-files | client-files Management | write | WRITE | Varies |
| client-files | client-files Management | read | READ | Varies |
| contract-files | contract-files Management | write | WRITE | Varies |
| contract-files | contract-files Management | read | READ | Varies |
| documents | documents Management | share | SHARE | Varies |
| files | files Management | read | READ | Varies |
| financial-files | financial-files Management | write | WRITE | Varies |
| financial-files | financial-files Management | read | READ | Varies |
| quote-files | quote-files Management | write | WRITE | Varies |
| quote-files | quote-files Management | read | READ | Varies |
| spaces | spaces Management | config | CONFIG | Varies |
| spaces | spaces Management | rules | RULES | Varies |
